ID;weight;height;age;dateOfBirth;fullName;gender;smoking;drinking
OJK7FY8V;77;187;54;1963-10-01;t l;MALE;Yes;Yes
7Q3H437E;103;191;48;1969-11-13;t l;MALE;No;No
6DC8EALL;90;182;65;1952-06-12;a l;FEMALE;No;Yes
60XTQ2NY;83;194;38;1980-01-04;j l;MALE;Yes;Yes
0L60ULMQ;104;197;41;1976-05-13;j o;MALE;No;Yes
JJXKABN7;100;191;56;1961-10-26;c o;FEMALE;Yes;Yes
1MGIBLD4;101;182;30;1987-05-22;t l;MALE;Yes;No
ULO0SWO7;90;182;40;1977-09-19;b g;FEMALE;Yes;Yes
0J1XWK9E;85;193;26;1991-08-12;k g;MALE;No;Yes
NZDEOA88;72;178;29;1988-11-03;a l;FEMALE;No;No
XM9ADUVI;83;192;25;1992-07-18;c g;FEMALE;Yes;Yes
WQY6V05J;77;169;48;1969-09-20;t o;MALE;Yes;Yes
S1ZFGQWQ;99;197;69;1948-05-30;b g;FEMALE;No;Yes
9L49N7WC;108;191;35;1982-09-25;j g;MALE;Yes;No
1PNEHSO9;49;160;69;1948-09-03;k g;MALE;No;No
08F5R90Y;87;198;69;1948-10-23;a o;FEMALE;No;No
XWXTN3HT;86;193;9;2008-05-19;a o;FEMALE;No;No
2XZ2TGEE;47;175;60;1958-02-06;b l;FEMALE;No;Yes
9XPILJJ3;62;163;53;1964-11-16;j o;MALE;Yes;Yes
DH7WM6QF;106;182;75;1942-05-01;j o;MALE;No;Yes
MUPZQEZ4;73;161;15;2002-09-25;a l;FEMALE;Yes;No
KE1AYY5N;104;196;31;1986-05-14;b l;FEMALE;No;Yes
8AZ5A1K9;102;198;34;1983-03-24;b l;FEMALE;Yes;No
7QOOA3MV;40;165;21;1996-12-11;b l;FEMALE;No;No
1WS7WUP1;112;192;64;1953-05-13;k o;MALE;Yes;Yes
D5AFH68P;75;172;19;1998-09-04;c g;FEMALE;Yes;Yes
POQ7IFAC;52;162;26;1991-03-31;t o;MALE;No;Yes
4T7BKFSR;106;191;54;1963-09-20;b o;FEMALE;No;Yes
L8GJHWJ5;89;194;72;1945-09-06;a g;FEMALE;Yes;Yes
PJ1NM3TC;92;198;29;1988-10-31;t g;MALE;No;No
MFQC7Z5M;67;183;67;1950-12-29;j g;MALE;Yes;Yes
YYQI6Y61;119;199;67;1950-02-17;t g;MALE;Yes;Yes
YUUKNQ5I;80;160;44;1973-11-09;t l;MALE;Yes;No
QY2QT5W4;89;177;45;1972-08-13;j l;MALE;Yes;Yes
NDQMT2ND;45;161;38;1979-12-23;j g;MALE;No;No
THYOHZAN;75;196;11;2006-07-01;b o;FEMALE;No;Yes
GP4ZS5TD;119;199;26;1991-06-11;j o;MALE;No;Yes
7WFWD748;83;168;13;2004-09-01;k g;MALE;No;No
YZHE7JQL;99;186;26;1991-05-16;c o;FEMALE;Yes;Yes
1TQ3UAPP;61;181;43;1974-04-01;k l;MALE;Yes;Yes
PT7Z4ZSL;52;172;17;2000-05-29;k g;MALE;Yes;Yes
J1INWWLF;67;176;29;1988-11-07;b o;FEMALE;No;No
H7W2H1VE;79;197;18;1999-11-27;j o;MALE;Yes;No
9ML1K6CA;73;174;47;1970-05-16;a o;FEMALE;Yes;No
IITKFW9K;77;167;54;1963-06-10;k o;MALE;Yes;No
YLS0H4DA;103;196;23;1994-08-05;t l;MALE;No;Yes
TDGJM5KQ;59;164;52;1965-12-07;a g;FEMALE;No;No
WVRBS7LY;65;169;56;1961-09-10;b g;FEMALE;No;No
50JHGDFZ;81;183;15;2002-03-21;t g;MALE;No;No
WQYU8337;79;178;27;1990-06-09;k g;MALE;Yes;Yes
S208A0YI;109;191;75;1942-11-02;j g;MALE;No;No
V8WIUCAW;90;185;9;2008-06-13;k l;MALE;No;No
OKJH6JUM;76;161;64;1953-09-17;t o;MALE;No;No
UHF9NNIY;83;165;22;1995-12-04;a l;FEMALE;No;Yes
Z83WGKM5;95;195;70;1947-10-21;j g;MALE;No;Yes
SCMMADG4;94;168;58;1959-04-20;t l;MALE;No;Yes
OW7123XZ;70;189;60;1957-09-16;j l;MALE;No;No
BH0F72HJ;78;191;48;1969-02-28;a g;FEMALE;No;Yes
CALRLR7N;46;166;45;1972-05-28;a l;FEMALE;Yes;Yes
RQQPKEWI;112;185;38;1979-06-26;k g;MALE;No;No
MMNVIWSB;78;192;71;1947-01-09;b o;FEMALE;Yes;Yes
KP5X2PI1;90;190;17;2000-07-02;a l;FEMALE;Yes;Yes
O1VC2HDY;85;195;23;1994-07-07;c l;FEMALE;Yes;Yes
ZBUGT54W;76;191;75;1942-03-10;j l;MALE;No;Yes
SYHF7PJS;66;185;56;1961-05-15;c g;FEMALE;No;No
Y9XMA958;74;189;66;1951-12-13;k l;MALE;Yes;Yes
SR9ZD16R;76;189;14;2004-01-09;j g;MALE;Yes;Yes
YL4P3IY3;75;161;31;1986-06-27;b l;FEMALE;No;Yes
C8FLAB0Z;65;180;52;1965-03-09;k o;MALE;No;Yes
FK9Q851Y;105;194;23;1994-07-22;t g;MALE;No;Yes
FLQF7F09;85;172;24;1993-05-26;j o;MALE;No;No
WWKK9AZD;87;193;65;1952-10-27;a o;FEMALE;Yes;No
YZQCALTA;60;187;51;1966-11-27;c o;FEMALE;Yes;No
OUJFD8QH;110;190;70;1947-04-24;a g;FEMALE;No;No
EMVTMJ4V;61;168;13;2004-03-23;t o;MALE;No;No
NX5QY2CJ;51;179;45;1972-03-06;a o;FEMALE;No;No
1A8FMTIT;69;172;11;2006-11-21;t o;MALE;No;No
RFSIBFRQ;64;169;8;2009-08-01;t l;MALE;Yes;Yes
TDXYFCCI;92;197;63;1954-05-26;k l;MALE;No;No
O5WWHSBC;67;167;9;2009-02-05;j g;MALE;Yes;Yes
IHQB7114;85;171;27;1990-08-31;b l;FEMALE;No;No
XMMEWSOM;90;187;20;1998-01-19;t l;MALE;No;No
W17WC55R;61;171;42;1975-10-23;b g;FEMALE;No;Yes
M5UJNPMJ;61;180;28;1989-06-11;a g;FEMALE;Yes;No
QWAIN657;40;167;72;1946-01-16;c l;FEMALE;No;Yes
5IUM0FSS;66;192;27;1991-01-31;c o;FEMALE;Yes;Yes
YJ953ILK;96;178;61;1957-01-04;b l;FEMALE;No;No
P81JUJ2W;82;182;58;1959-04-23;k l;MALE;Yes;No
3AHXU1U4;75;190;9;2008-09-22;a o;FEMALE;No;No
QFPE64N8;65;186;60;1957-07-06;a g;FEMALE;Yes;No
FITCOEOS;88;183;73;1944-09-11;j o;MALE;No;Yes
JQUYGFWE;58;179;11;2006-08-23;a g;FEMALE;Yes;Yes
JJE6S66V;67;190;43;1974-06-23;a o;FEMALE;Yes;Yes
FCY23XG1;102;200;25;1992-08-22;k g;MALE;Yes;Yes
U94BYLMT;76;189;31;1986-05-13;a g;FEMALE;No;No
IMBO9VUU;102;186;23;1994-07-29;j g;MALE;No;No
FHCTFNQW;94;183;62;1955-09-14;a o;FEMALE;No;Yes
QM99GC7I;55;170;74;1943-06-13;b g;FEMALE;No;No
AOPU9J28;101;180;15;2002-04-19;j g;MALE;No;Yes
RRMTBLYL;87;193;65;1953-01-06;j o;MALE;Yes;Yes
KTIXLGWJ;104;177;9;2008-11-24;k o;MALE;No;Yes
BAOY76VG;60;176;22;1995-06-05;k l;MALE;No;Yes
LU8CSYF3;66;160;69;1948-12-02;k g;MALE;Yes;Yes
ZAVORSP1;92;200;18;1999-06-14;c o;FEMALE;Yes;Yes
0YDJJXDQ;94;187;33;1984-11-28;c l;FEMALE;Yes;Yes
PU99I809;90;178;30;1988-01-09;a l;FEMALE;No;No
VFZIZZMJ;74;170;52;1966-01-24;t l;MALE;Yes;Yes
STD58LON;60;160;56;1961-09-15;c o;FEMALE;No;No
CC75ZX8P;105;194;69;1948-05-22;j o;MALE;No;Yes
XOUEAK1D;77;190;63;1954-03-05;b g;FEMALE;No;Yes
2A7GD1XS;98;180;42;1975-06-05;b g;FEMALE;Yes;No
L194RNUT;79;192;43;1974-03-13;j o;MALE;Yes;No
FUDKLFSK;73;165;10;2007-06-15;t o;MALE;No;No
0W288GE4;66;186;40;1977-03-09;a l;FEMALE;Yes;No
4VBVZR1F;96;189;31;1986-02-26;a l;FEMALE;No;Yes
P4SED16P;98;196;36;1981-07-18;k o;MALE;Yes;Yes
HVAEW4DU;90;184;21;1996-08-30;a o;FEMALE;No;Yes
N2XEQ52H;77;175;26;1991-06-22;b o;FEMALE;No;Yes
MY7KY6S6;93;175;63;1954-05-25;b g;FEMALE;No;Yes
M3CY7I8N;64;182;50;1967-12-08;t g;MALE;Yes;No
WJ53ANR7;104;200;64;1953-12-05;k l;MALE;Yes;No
AWCCH89Z;83;173;30;1987-04-30;c g;FEMALE;Yes;No
YH1HSVUV;67;175;18;1999-03-07;t o;MALE;No;Yes
ZC25SBLA;61;184;44;1973-12-26;b l;FEMALE;Yes;No
XMLBAQCA;99;199;72;1945-04-13;j o;MALE;No;Yes
FZF544E7;120;194;69;1948-11-20;t g;MALE;Yes;Yes
TOEKESFM;88;170;39;1978-06-15;k l;MALE;Yes;Yes
SZS3939M;81;183;51;1966-02-22;c l;FEMALE;Yes;Yes
MZNLGADR;96;186;52;1966-01-08;c g;FEMALE;Yes;No
N52E3LHJ;89;174;67;1950-05-05;t l;MALE;Yes;Yes
HFP42NUN;84;175;13;2004-11-23;j o;MALE;Yes;Yes
W040QXVQ;70;170;43;1974-07-31;k g;MALE;Yes;Yes
DLPC5BW9;80;170;61;1956-11-09;a g;FEMALE;Yes;Yes
53CX3T9R;94;181;48;1969-11-15;a o;FEMALE;No;Yes
ZUY6TCQK;103;184;19;1998-09-16;b o;FEMALE;Yes;Yes
NEF7J5OQ;72;174;77;1940-11-16;c l;FEMALE;Yes;Yes
A11PPVQ4;58;163;23;1994-03-18;t o;MALE;Yes;Yes
7GO2W5AN;71;186;52;1966-01-15;t o;MALE;Yes;Yes
O7F5TA4E;73;177;50;1967-08-26;c l;FEMALE;Yes;No
B5AJZY1A;45;160;40;1977-12-17;a l;FEMALE;Yes;Yes
GXRY3Q2F;78;166;20;1997-12-06;t g;MALE;No;No
7CFH9CBY;92;177;17;2000-08-17;b l;FEMALE;Yes;Yes
3BHLOXQ4;98;196;15;2002-06-07;k l;MALE;No;No
2WMXL81G;44;164;20;1997-05-23;j g;MALE;No;No
CH5Z00SI;72;187;16;2001-10-12;j g;MALE;No;No
3XRCWUKC;96;194;53;1964-06-03;c g;FEMALE;Yes;Yes
1KF8YTPE;74;188;57;1960-08-11;c l;FEMALE;Yes;Yes
WUBOZBZL;98;172;21;1997-01-24;k l;MALE;No;Yes
C4XO20LG;89;181;42;1975-03-03;k o;MALE;Yes;Yes
N4148UOS;63;164;31;1986-10-06;c l;FEMALE;No;Yes
FRH6PGB6;68;167;19;1998-08-02;c g;FEMALE;No;No
WG4N55BS;90;187;22;1995-03-27;c l;FEMALE;Yes;No
GZ1CYMCK;45;162;24;1993-11-10;t l;MALE;Yes;Yes
93A8PNW9;44;172;62;1956-01-27;c o;FEMALE;Yes;Yes
2I9O8VHP;57;162;42;1975-11-04;t l;MALE;Yes;No
KK7YXQMN;78;191;52;1966-02-10;k l;MALE;No;Yes
FOXUX5MZ;41;166;40;1977-08-27;b l;FEMALE;No;Yes
8NDZ9HKK;110;193;55;1962-09-20;j l;MALE;Yes;Yes
5I9BJX46;99;169;43;1974-02-12;k o;MALE;No;Yes
GR6CDQ88;86;184;77;1940-04-08;a g;FEMALE;Yes;Yes
QR3NMD0C;81;174;35;1982-04-22;j l;MALE;No;Yes
G7M2QW0N;73;160;77;1940-12-16;a g;FEMALE;Yes;Yes
0D1X7H3S;86;185;56;1961-06-14;t g;MALE;No;Yes
MJBLNP4X;52;169;67;1950-04-07;t g;MALE;No;No
UWLP1XLA;87;173;16;2001-11-01;j o;MALE;Yes;Yes
YZ4Q4RKY;114;184;46;1971-04-21;j o;MALE;Yes;No
L44SNRAJ;65;163;46;1971-12-31;a o;FEMALE;No;No
7DZZJTNM;63;179;35;1982-08-03;b g;FEMALE;No;No
LP5LOCO9;107;190;61;1956-09-07;j o;MALE;Yes;No
L9JTID14;90;192;65;1952-11-19;c o;FEMALE;No;Yes
BQ0NCJNJ;61;167;71;1946-07-18;t g;MALE;No;Yes
E7RG326B;40;168;23;1994-05-20;a g;FEMALE;Yes;Yes
14V5S7LN;70;187;28;1989-04-18;a l;FEMALE;Yes;Yes
6MLQ8BEM;88;190;72;1945-12-22;c g;FEMALE;No;No
HLSS3OKZ;62;172;76;1941-08-18;k g;MALE;Yes;Yes
7H0ISXOE;55;171;36;1981-11-04;b g;FEMALE;No;Yes
26IPC0RU;100;198;19;1998-09-19;j o;MALE;No;No
2CORQJ3F;83;181;52;1965-06-04;a g;FEMALE;No;No
YBSBP4E6;66;160;61;1956-07-22;k g;MALE;No;No
CRASLZDS;47;161;9;2009-02-06;b g;FEMALE;No;Yes
VKM0S7U8;97;187;32;1985-06-18;t l;MALE;Yes;Yes
R8HLBTB5;80;163;75;1942-06-23;a o;FEMALE;Yes;No
FYSVLH39;74;177;74;1943-05-03;a g;FEMALE;No;Yes
NOW3BM3V;87;174;71;1946-11-09;a o;FEMALE;No;No
591RBSQK;91;177;36;1981-07-18;c g;FEMALE;Yes;No
IDQUL4JP;60;184;54;1963-08-02;b g;FEMALE;Yes;No
I22HW68P;66;192;22;1995-08-08;c l;FEMALE;Yes;No
DZSQ7VJO;87;195;49;1968-11-01;b g;FEMALE;Yes;No
I019DVLV;105;196;17;2000-12-09;t o;MALE;Yes;No
5N7WFL0R;105;194;56;1961-09-23;b l;FEMALE;No;No
T28LOX6C;50;170;25;1993-01-17;b l;FEMALE;Yes;Yes
J5TOV4O5;107;200;38;1979-09-12;j o;MALE;Yes;No
QYS0WE80;103;181;45;1972-03-30;j o;MALE;Yes;No
T4KWP63D;55;172;74;1943-12-06;j l;MALE;No;No
NPE81M00;94;198;68;1949-06-05;c g;FEMALE;Yes;Yes
05IK7U2F;63;181;21;1996-09-03;k o;MALE;No;No
GD6P1X2H;108;196;23;1994-05-02;t g;MALE;Yes;Yes
WPCMD3V2;74;161;55;1963-01-19;c l;FEMALE;No;Yes
H5KR52IL;81;174;69;1948-07-28;a g;FEMALE;Yes;Yes
GAJ3NNJT;98;197;46;1972-02-06;j g;MALE;No;No
91YJJ8MG;120;200;35;1982-03-16;c g;FEMALE;No;No
0KNBCSK8;126;200;16;2001-11-02;j l;MALE;No;No
1I5W6VIR;78;170;12;2005-09-01;j o;MALE;Yes;No
HZCB6LCI;68;180;16;2002-01-22;k l;MALE;Yes;No
QXOEM90U;52;166;55;1962-08-20;c l;FEMALE;Yes;Yes
LQG5DGTX;87;188;45;1972-12-20;j l;MALE;No;Yes
7RR1EGED;89;180;39;1978-08-11;a o;FEMALE;No;Yes
PHZTO30I;69;183;25;1993-01-18;c g;FEMALE;Yes;Yes
12Q9SIGL;67;187;61;1956-03-27;j g;MALE;Yes;No
M2US36JW;62;161;50;1967-08-06;j g;MALE;No;No
ODX29N36;81;166;67;1950-04-20;t g;MALE;No;Yes
9UT70IRL;82;175;13;2004-08-01;b o;FEMALE;No;Yes
ZMB4FPRN;50;168;67;1950-03-06;j l;MALE;No;No
3OYOIB3P;66;183;66;1951-10-20;b l;FEMALE;No;Yes
LSRM6XNA;109;197;53;1964-11-07;b o;FEMALE;No;Yes
YA1AYDVD;62;178;59;1958-04-03;t o;MALE;No;No
NP6LCLPR;92;181;33;1985-01-26;b l;FEMALE;Yes;No
JEX3U0E8;81;189;38;1980-01-08;a l;FEMALE;No;Yes
7O4TI2ZK;105;190;56;1961-07-07;j g;MALE;No;No
7TUGTVP6;101;190;35;1982-04-07;j g;MALE;No;No
HB65T3DX;56;177;40;1977-09-15;c l;FEMALE;Yes;Yes
E06YP7JC;67;180;24;1993-09-09;j o;MALE;Yes;No
54NEX7TH;75;194;50;1967-03-01;t l;MALE;No;No
WECUWW41;86;169;32;1985-07-24;c l;FEMALE;No;No
ZJTSMTPQ;39;163;68;1949-03-10;a o;FEMALE;Yes;No
RN6SLZV9;86;182;25;1992-09-13;c l;FEMALE;No;No
W0SPZ253;93;192;17;2001-01-24;t l;MALE;No;Yes
R9IA5JGW;78;162;61;1956-03-18;b l;FEMALE;No;Yes
U8FG2ZJN;61;179;75;1942-10-01;j o;MALE;Yes;Yes
V15DEERQ;49;178;44;1973-10-15;c o;FEMALE;Yes;Yes
W0R60RVA;103;199;14;2003-03-25;t o;MALE;No;No
ELS1GBZM;71;189;42;1975-08-05;j l;MALE;No;Yes
1QBLYATA;66;184;53;1964-02-16;b o;FEMALE;No;Yes
F67FN1S6;87;197;12;2006-01-02;b l;FEMALE;Yes;No
O66VU9YL;108;191;63;1955-01-16;k g;MALE;No;Yes
9Q6HR2RC;80;195;54;1963-05-27;b o;FEMALE;Yes;Yes
3P12GZ4O;74;190;71;1946-07-30;c l;FEMALE;Yes;No
PXJJPZX2;69;161;62;1955-11-19;b o;FEMALE;Yes;No
AMJXYGDS;60;186;72;1945-11-29;a g;FEMALE;Yes;Yes
GJME4K0D;65;195;69;1948-10-16;b l;FEMALE;No;Yes
OCOKLBP2;51;170;62;1955-10-01;j g;MALE;No;No
INWWY0NC;52;166;38;1979-12-26;t g;MALE;Yes;No
EPNI2FDB;61;163;24;1993-11-11;c o;FEMALE;Yes;No
YN6WC0TK;72;200;54;1963-10-05;b o;FEMALE;No;No
G30PQT9K;63;165;34;1983-11-06;b l;FEMALE;No;Yes
45RX6NB8;62;163;9;2008-05-16;b l;FEMALE;No;No
JWVVBZKX;94;191;20;1997-05-11;k o;MALE;No;Yes
2F6BD3FH;57;173;27;1990-06-30;t o;MALE;Yes;Yes
98NMUOK4;95;196;73;1944-06-10;b o;FEMALE;No;No
0DUBS7EM;74;170;28;1989-08-29;a l;FEMALE;Yes;No
1K1FRU3U;86;195;12;2005-07-25;t o;MALE;No;No
DPS9SPG8;57;180;37;1980-06-06;c g;FEMALE;No;No
XSODL9TU;69;161;71;1946-05-13;k l;MALE;No;No
CPISS4JC;85;171;68;1950-01-09;c l;FEMALE;Yes;Yes
2PZ5OGOK;105;191;33;1984-05-20;c g;FEMALE;Yes;No
8Y722EDV;96;179;56;1961-06-26;b l;FEMALE;No;No
GQIYLFQQ;54;175;8;2009-11-18;a l;FEMALE;No;Yes
6X8F5YFG;78;173;36;1981-09-20;c o;FEMALE;Yes;Yes
8EULUCBS;87;173;56;1961-10-30;b g;FEMALE;Yes;Yes
6W7REPBR;80;168;64;1953-07-16;k g;MALE;No;No
1QTGWT1W;121;194;15;2002-06-15;k l;MALE;No;Yes
AC32KSNG;106;193;56;1961-09-19;b g;FEMALE;No;No
G1RERIWK;91;173;55;1962-09-10;j g;MALE;Yes;Yes
BVA99QG6;78;183;74;1943-05-13;c g;FEMALE;Yes;Yes
53K8Y6G6;77;168;24;1993-07-18;j o;MALE;Yes;Yes
ZAVERL5B;54;171;27;1990-07-18;c o;FEMALE;Yes;No
GSLXM9MI;64;184;22;1995-07-28;j l;MALE;Yes;No
UBDPSHE9;78;186;47;1970-07-28;a l;FEMALE;No;No
LGF9Z74K;43;172;69;1948-12-03;c g;FEMALE;Yes;No
PFASEHY9;93;179;28;1989-09-12;c o;FEMALE;Yes;Yes
X9FJY6WF;97;193;77;1940-04-25;a g;FEMALE;No;No
JVYE4CTU;69;183;36;1981-10-03;a l;FEMALE;Yes;No
3P9P6QIA;92;177;57;1960-09-16;k o;MALE;Yes;No
31NUWO32;88;196;35;1982-08-17;k l;MALE;Yes;Yes
H356F7G0;85;166;75;1942-08-16;j o;MALE;No;Yes
07IWWWGY;96;192;76;1941-07-20;j l;MALE;No;No
T66HAVG7;71;175;32;1985-09-23;a l;FEMALE;Yes;Yes
L5LM6931;87;189;62;1955-11-18;j l;MALE;Yes;Yes
LRSJTBEN;106;190;49;1968-11-20;c o;FEMALE;No;No
MICYK7PG;57;160;73;1944-04-02;t g;MALE;Yes;Yes
86HGWQVF;93;177;20;1997-10-27;c g;FEMALE;Yes;Yes
YAVPXCRL;75;185;61;1956-09-18;j g;MALE;No;No
FK00HCKI;74;182;22;1995-10-30;b o;FEMALE;Yes;No
0SNSFLR3;117;196;42;1975-10-19;t g;MALE;No;No
T8A6Y21M;73;175;65;1952-09-23;t o;MALE;No;No
3VTB0N07;67;187;15;2002-06-25;a l;FEMALE;No;No
WD87YRBM;76;166;17;2000-12-06;k o;MALE;Yes;No
ICVA9FIN;100;181;35;1982-02-20;t l;MALE;No;Yes
EGGE4BCY;96;179;42;1975-10-06;a o;FEMALE;No;No
P9JL67O1;83;193;36;1982-02-09;t g;MALE;No;Yes
DPL8HSQZ;95;192;24;1993-10-01;t g;MALE;No;Yes
25GUDNY0;113;184;67;1950-06-27;k o;MALE;Yes;No
0Y38I8C7;74;174;33;1984-10-18;c o;FEMALE;No;No
MXD9J8G0;89;192;22;1995-11-05;t l;MALE;Yes;No
51WQ7CPA;61;173;60;1957-06-23;c l;FEMALE;No;No
YOG4J09S;128;200;48;1969-08-16;j g;MALE;No;No
E1EERXC1;88;173;42;1975-05-02;k g;MALE;No;No
3X4JZ3TM;77;199;21;1996-07-10;a o;FEMALE;Yes;Yes
08RP6XBD;49;172;68;1949-05-25;c l;FEMALE;Yes;No
Z7K4LRTW;116;190;41;1976-12-01;k l;MALE;Yes;No
0HXAM5TN;72;176;45;1972-05-27;a l;FEMALE;No;No
2VBFGUM3;118;195;32;1985-02-28;k g;MALE;Yes;No
DT4KJQGC;87;161;76;1941-12-07;t l;MALE;No;Yes
IZE11IFI;103;200;65;1952-03-07;a g;FEMALE;No;Yes
V0G1SJS1;95;196;66;1951-12-17;k o;MALE;No;No
8R6NC3CJ;65;165;35;1982-04-01;a l;FEMALE;No;Yes
K08JOGBM;65;170;63;1954-05-24;j l;MALE;Yes;Yes
AQ7BSM8F;51;177;55;1962-08-27;a l;FEMALE;No;Yes
NKO0A07Q;89;198;43;1974-05-24;t l;MALE;Yes;Yes
JOF4NY4W;72;162;69;1948-08-06;k o;MALE;Yes;Yes
4OGI7FJG;101;172;36;1981-07-06;k o;MALE;No;No
FGAT0IU2;60;175;63;1954-12-07;j o;MALE;Yes;No
VAGYZEJX;106;181;25;1992-06-19;t l;MALE;Yes;Yes
XMCL0BWK;66;180;24;1993-03-31;k o;MALE;No;No
9XR7GOD8;77;179;67;1950-06-27;a l;FEMALE;No;Yes
FD3MQD7Q;42;162;42;1975-08-03;c g;FEMALE;No;Yes
2IW6RYMF;107;178;12;2005-08-18;t o;MALE;No;Yes
UDE2SH1K;73;179;23;1994-09-15;a o;FEMALE;Yes;No
IZ1B9SRU;96;186;72;1945-05-03;c g;FEMALE;Yes;Yes
SCV7WYGN;45;170;18;1999-12-24;b o;FEMALE;Yes;No
GHZD8QEN;69;171;65;1952-05-17;b l;FEMALE;No;No
83YXKFT1;113;199;53;1964-06-23;c l;FEMALE;No;Yes
F8WGXRPD;82;183;52;1965-03-25;j l;MALE;Yes;No
U1PN76U0;72;191;14;2003-05-23;t g;MALE;Yes;No
O91MOI3S;85;160;41;1976-11-23;t l;MALE;Yes;No
APRZIID3;97;187;39;1979-02-03;c l;FEMALE;Yes;Yes
ICHRV0C2;112;196;72;1945-08-26;t l;MALE;Yes;No
X3QTX03D;88;170;56;1962-01-23;k g;MALE;No;No
NV5JGY4Y;88;181;30;1987-03-20;c g;FEMALE;Yes;No
JU2NOSRN;118;199;25;1992-04-21;t g;MALE;No;Yes
LN63BYGR;73;180;43;1974-05-18;k l;MALE;Yes;Yes
WT3DFV1T;97;199;59;1958-11-02;j l;MALE;No;Yes
JS89EMQW;105;193;55;1962-12-14;k o;MALE;Yes;No
V93SYHSZ;74;174;67;1950-12-15;a l;FEMALE;No;No
DS1NDHDJ;95;175;61;1956-02-22;t o;MALE;Yes;No
EOVARVX8;101;181;8;2009-04-08;a g;FEMALE;Yes;Yes
0MYZ2ZMD;116;196;46;1971-04-12;c g;FEMALE;Yes;Yes
UYHZ7KE6;99;179;65;1952-08-07;k l;MALE;Yes;No
O03FIX2O;62;165;33;1984-06-10;b l;FEMALE;Yes;Yes
C3975B8U;88;169;27;1990-05-26;t o;MALE;No;No
XWRH7BIM;73;169;11;2006-03-08;c g;FEMALE;Yes;No
9L21O2YY;74;195;54;1963-06-24;c o;FEMALE;Yes;No
7SUR5CQB;84;194;44;1973-04-10;b l;FEMALE;No;Yes
GCLX53SA;100;176;14;2004-01-25;t o;MALE;No;No
NW7Y6LRQ;70;175;68;1949-09-25;b o;FEMALE;No;Yes
Z92CB5UH;107;198;36;1981-07-19;b g;FEMALE;Yes;No
WLI1FN25;88;196;17;2000-03-20;b g;FEMALE;Yes;Yes
RXEB3IZA;80;171;38;1979-11-10;a l;FEMALE;No;Yes
33ZH1CCS;114;195;59;1958-12-27;k g;MALE;No;No
DX3BCLFW;85;187;69;1948-06-25;a o;FEMALE;Yes;No
